name,code,date,day,month,year
Bahrain,BHR,"December 16, 1971",16,12,1971
Qatar,QAT,"December 18, 1971",18,12,1971
Bahamas,BHS,"July 10, 1973",10,7,1973
Guinea-Bissau,GNB,"September 24, 1973",24,9,1973
Grenada,GRD,"February 7, 1974",7,2,1974
Mozambique,MOZ,"June 25, 1975",25,6,1975
Cabo Verde,CPV,"July 5, 1975",5,7,1975
Comoros,COM,"July 6, 1975",6,7,1975
Sao Tome and Principe,STP,"July 12, 1975",12,7,1975
Papua New Guinea,PNG,"September 16, 1975",16,9,1975
Angola,AGO,"November 11, 1975",11,11,1975
Suriname,SUR,"November 25, 1975",25,11,1975
Western Sahara,ESH,"February 27, 1976",27,2,1976
Seychelles,SYC,"June 29, 1976",29,6,1976
Djibouti,DJI,"June 27, 1977",27,6,1977
Solomon Islands,SLB,"July 7, 1978",7,7,1978
Tuvalu,TUV,"October 1, 1978",1,10,1978
Dominica,DMA,"November 3, 1978",3,11,1978
Saint Lucia,LCA,"February 22, 1979",22,2,1979
Kiribati,KIR,"July 12, 1979",12,7,1979
Saint Vincent and the Grenadines,VCT,"October 27, 1979",27,10,1979
Zimbabwe,ZWE,"April 18, 1980",18,4,1980
Vanuatu,VUT,"July 30, 1980",30,7,1980
Belize,BLZ,"September 21, 1981",21,9,1981
Antigua and Barbuda,ATG,"November 1, 1981",1,11,1981
Saint Kitts and Nevis,KNA,"September 19, 1983",19,9,1983
Norfolk Island,NFK,"October 15, 1983",15,10,1983
Virgin Islands (British),VGB,"January 1, 1984",1,1,1984
Lithuania,LTU,"March 11, 1990",11,3,1990
Namibia,NAM,"March 21, 1990",21,3,1990
Latvia,LVA,"May 4, 1990",4,5,1990
Slovenia,SVN,"December 26, 1990",26,12,1990
"Moldova, Republic of",MDA,"August 27, 1991",27,8,1991
Kyrgyzstan,KGZ,"August 31, 1991",31,8,1991
Uzbekistan,UZB,"September 1, 1991",1,9,1991
Macao,MAC,"September 8, 1991",8,9,1991
Tajikistan,TJK,"September 9, 1991",9,9,1991
Armenia,ARM,"September 21, 1991",21,9,1991
Croatia,HRV,"October 8, 1991",8,10,1991
Azerbaijan,AZE,"October 18, 1991",18,10,1991
Turkmenistan,TKM,"October 27, 1991",27,10,1991
Kazakhstan,KAZ,"December 16, 1991",16,12,1991
Bosnia and Herzegovina,BIH,"March 1, 1992",1,3,1992
Russian Federation,RUS,"June 12, 1992",12,6,1992
Slovakia,SVK,"July 17, 1992",17,7,1992
Czechia,CZE,"January 1, 1993",1,1,1993
Eritrea,ERI,"May 24, 1993",24,5,1993
Montenegro,MNE,"May 21, 2006",21,5,2006
South Sudan,SDS,"July 9, 2011",9,7,2011
United Kingdom of Great Britain and Northern Ireland,GBR,Never Been Occupied,0,0,0
Antarctica,ATA,Never Been Occupied,0,0,0
China,CHN,Never Been Occupied,0,0,0
Denmark,DNK,Never Been Occupied,0,0,0
Ethiopia,ETH,Never Been Occupied,0,0,0
France,FRA,Never Been Occupied,0,0,0
Germany,DEU,Never Been Occupied,0,0,0
Greenland,GRL,Never Been Occupied,0,0,0
Hungary,HUN,Never Been Occupied,0,0,0
Italy,ITA,Never Been Occupied,0,0,0
Japan,JPN,Never Been Occupied,0,0,0
Liechtenstein,LIE,Never Been Occupied,0,0,0
Luxembourg,LUX,Never Been Occupied,0,0,0
Monaco,MCO,Never Been Occupied,0,0,0
Nepal,NPL,Never Been Occupied,0,0,0
Netherlands,NLD,Never Been Occupied,0,0,0
Portugal,PRT,Never Been Occupied,0,0,0
Spain,ESP,Never Been Occupied,0,0,0
Sweden,SWE,Never Been Occupied,0,0,0
Thailand,THA,Never Been Occupied,0,0,0
Åland Islands,ALA,#N/A,#N/A,#N/A,#N/A
American Samoa,ASM,#N/A,#N/A,#N/A,#N/A
Andorra,AND,#N/A,#N/A,#N/A,#N/A
Aruba,ABW,#N/A,#N/A,#N/A,#N/A
Bermuda,BMU,#N/A,#N/A,#N/A,#N/A
Bhutan,BTN,#N/A,#N/A,#N/A,#N/A
"Bonaire, Sint Eustatius and Saba",BES,#N/A,#N/A,#N/A,#N/A
Bouvet Island,BVT,#N/A,#N/A,#N/A,#N/A
British Indian Ocean Territory,IOT,#N/A,#N/A,#N/A,#N/A
Brunei Darussalam,BRN,#N/A,#N/A,#N/A,#N/A
Cayman Islands,CYM,#N/A,#N/A,#N/A,#N/A
Christmas Island,CXR,#N/A,#N/A,#N/A,#N/A
Cocos (Keeling) Islands,CCK,#N/A,#N/A,#N/A,#N/A
Cook Islands,COK,#N/A,#N/A,#N/A,#N/A
Curaçao,CUW,#N/A,#N/A,#N/A,#N/A
Falkland Islands (Malvinas),FLK,#N/A,#N/A,#N/A,#N/A
Faroe Islands,FRO,#N/A,#N/A,#N/A,#N/A
French Guiana,GUF,#N/A,#N/A,#N/A,#N/A
French Polynesia,PYF,#N/A,#N/A,#N/A,#N/A
French Southern Territories,ATF,#N/A,#N/A,#N/A,#N/A
Gibraltar,GIB,#N/A,#N/A,#N/A,#N/A
Guadeloupe,GLP,#N/A,#N/A,#N/A,#N/A
Guam,GUM,#N/A,#N/A,#N/A,#N/A
Guernsey,GGY,#N/A,#N/A,#N/A,#N/A
Heard Island and McDonald Islands,HMD,#N/A,#N/A,#N/A,#N/A
Holy See,VAT,#N/A,#N/A,#N/A,#N/A
Hong Kong,HKG,#N/A,#N/A,#N/A,#N/A
Iran (Islamic Republic of),IRN,#N/A,#N/A,#N/A,#N/A
Ireland,IRL,#N/A,#N/A,#N/A,#N/A
Isle of Man,IMN,#N/A,#N/A,#N/A,#N/A
Palestine,ISR,#N/A,#N/A,#N/A,#N/A
Jersey,JEY,#N/A,#N/A,#N/A,#N/A
Marshall Islands,MHL,#N/A,#N/A,#N/A,#N/A
Martinique,MTQ,#N/A,#N/A,#N/A,#N/A
Mayotte,MYT,#N/A,#N/A,#N/A,#N/A
Micronesia (Federated States of),FSM,#N/A,#N/A,#N/A,#N/A
Montserrat,MSR,#N/A,#N/A,#N/A,#N/A
New Caledonia,NCL,#N/A,#N/A,#N/A,#N/A
Niue,NIU,#N/A,#N/A,#N/A,#N/A
Northern Mariana Islands,MNP,#N/A,#N/A,#N/A,#N/A
Oman,OMN,#N/A,#N/A,#N/A,#N/A
Palau,PLW,#N/A,#N/A,#N/A,#N/A
"Palestine, State of",PSE,#N/A,#N/A,#N/A,#N/A
Pitcairn,PCN,#N/A,#N/A,#N/A,#N/A
Puerto Rico,PRI,#N/A,#N/A,#N/A,#N/A
Saint Barthélemy,BLM,#N/A,#N/A,#N/A,#N/A
"Saint Helena, Ascension and Tristan da Cunha",SHN,#N/A,#N/A,#N/A,#N/A
Saint Martin (French part),MAF,#N/A,#N/A,#N/A,#N/A
Saint Pierre and Miquelon,SPM,#N/A,#N/A,#N/A,#N/A
San Marino,SMR,#N/A,#N/A,#N/A,#N/A
Sint Maarten (Dutch part),SXM,#N/A,#N/A,#N/A,#N/A
South Georgia and the South Sandwich Islands,SGS,#N/A,#N/A,#N/A,#N/A
Svalbard and Jan Mayen,SJM,#N/A,#N/A,#N/A,#N/A
Syrian Arab Republic,SYR,#N/A,#N/A,#N/A,#N/A
"Taiwan, Province of China",TWN,#N/A,#N/A,#N/A,#N/A
Timor-Leste,TLS,#N/A,#N/A,#N/A,#N/A
Tokelau,TKL,#N/A,#N/A,#N/A,#N/A
Turks and Caicos Islands,TCA,#N/A,#N/A,#N/A,#N/A
United States Minor Outlying Islands,UMI,#N/A,#N/A,#N/A,#N/A
Virgin Islands (U.S.),VIR,#N/A,#N/A,#N/A,#N/A
Wallis and Futuna,WLF,#N/A,#N/A,#N/A,#N/A
